(Midclass 3227 select SARIMA, accuracy: 0.470535)
(Midclass 3311 select ZERO, accuracy: 0.000000)
(Midclass 3316 select ZERO, accuracy: 0.000000)
(Midclass 3319 select SARIMA, accuracy: 1.418897)
(Midclass 3320 select XGBOOST, accuracy: 0.681791)
(Midclass 3321 select ZERO, accuracy: 0.845154)
(Midclass 3322 select ZERO, accuracy: 0.218218)
(Midclass 3323 select ZERO, accuracy: 0.308607)
(Midclass 3325 select SARIMA, accuracy: 0.306011)
(Midclass 3326 select ZERO, accuracy: 0.000000)
(Midclass 3402 select SARIMA, accuracy: 0.505201)
(Midclass 3403 select ZERO, accuracy: 0.218218)
(Midclass 3407 select XGBOOST, accuracy: 1.583984)
(Midclass 3408 select ZERO, accuracy: 0.218218)
(Midclass 3413 select ZERO, accuracy: 0.000000)
(Midclass 3415 select SARIMA, accuracy: 0.871680)
(Midclass 3417 select XGBOOST, accuracy: 0.377431)
(Midclass 3423 select SARIMA, accuracy: 0.438360)
(Midclass 3424 select XGBOOST, accuracy: 1.109004)
(Midclass 3426 select XGBOOST, accuracy: 0.215652)
(Midclass 3431 select SARIMA, accuracy: 0.555214)
(Larclass 10 select SUM, accuracy: 5.288813)
(Larclass 11 select SUM, accuracy: 1.967995)
(Larclass 12 select SARIMA, accuracy: 29.097950)
(Larclass 13 select SARIMA, accuracy: 3.669651)
(Larclass 15 select SARIMA, accuracy: 15.189662)
(Larclass 20 select SARIMA, accuracy: 13.969971)
(Larclass 21 select SUM, accuracy: 2.007923)
(Larclass 22 select SUM, accuracy: 22.782286)
(Larclass 23 select SARIMA, accuracy: 9.731009)
(Larclass 30 select SARIMA, accuracy: 8.978236)
(Larclass 31 select SUM, accuracy: 2.468272)
(Larclass 32 select SARIMA, accuracy: 0.447503)
(Larclass 33 select SARIMA, accuracy: 2.195191)
(Larclass 34 select SARIMA, accuracy: 2.465107)

1502: failed to use arima, use xgboost instead
2302: failed to use arima, use xgboost instead
3017: failed to use arima, use xgboost instead
3018: failed to use arima, use xgboost instead
